,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Date
0,Neuquén,AR,46.4,81,0,8.05,-38.9516,-68.0591,1618632636
1,Hobart,AU,63.0,51,75,14.97,-42.8794,147.3294,1618632569
2,Dikson,RU,-2.63,88,99,5.3,73.5069,80.5464,1618632511
3,East London,ZA,55.4,71,0,6.91,-33.0153,27.9116,1618632337
4,Karaikudi,IN,86.74,64,70,6.73,10.0667,78.7833,1618632636
5,Parker,US,53.01,86,100,7.0,32.7668,-97.8003,1618632149
6,Atuona,PF,80.64,77,100,18.66,-9.8,-139.0333,1618632513
7,Jamestown,US,37.0,93,90,12.66,42.097,-79.2353,1618632344
8,Rikitea,PF,77.7,68,100,9.46,-23.1203,-134.9692,1618632497
9,Upernavik,GL,-11.07,98,83,7.14,72.7868,-56.1549,1618632638
10,Ruteng,ID,74.75,61,80,1.23,-8.6136,120.4721,1618632550
11,Lebu,CL,52.72,86,51,7.81,-37.6167,-73.65,1618632638
12,Busselton,AU,73.99,50,25,4.0,-33.65,115.3333,1618632639
13,Berlevåg,NO,39.43,88,100,33.64,70.8578,29.0864,1618632639
14,Torbay,CA,33.01,93,90,11.5,47.6666,-52.7314,1618632640
15,Watsa,CD,64.09,88,82,3.76,3.0372,29.5355,1618632640
16,Mar del Plata,AR,62.01,100,14,1.74,-38.0023,-57.5575,1618632589
17,Bilibino,RU,24.26,70,100,5.77,68.0546,166.4372,1618632641
18,Xichang,CN,62.44,70,100,3.18,27.8964,102.2634,1618632641
19,Baghdad,IQ,68.0,34,0,6.91,33.3406,44.4009,1618632348
20,Cape Town,ZA,53.6,87,0,4.61,-33.9258,18.4232,1618632416
21,Bluff,NZ,55.99,63,97,7.0,-46.6,168.3333,1618632642
22,Puerto Ayora,EC,75.99,97,89,5.01,-0.7393,-90.3518,1618632642
23,Nikolskoye,RU,41.0,45,0,8.95,59.7035,30.7861,1618632499
24,Boguchany,RU,21.88,56,7,10.56,58.3814,97.4531,1618632643
25,Gilbués,BR,74.21,56,90,2.82,-9.8317,-45.3439,1618632644
26,Longyearbyen,SJ,14.0,62,20,12.66,78.2186,15.6401,1618632644
27,Vieques,PR,78.8,83,40,6.91,18.425,-65.8329,1618632645
28,Nador,MA,53.6,94,0,4.61,35.174,-2.9287,1618632645
29,Palu,ID,91.24,52,48,5.39,-0.8917,119.8707,1618632646
30,Charters Towers,AU,86.27,28,3,9.44,-20.1,146.2667,1618632646
31,Deputatsky,RU,9.99,88,80,5.06,69.3,139.9,1618632646
32,Naze,JP,75.2,83,75,16.11,28.3667,129.4833,1618632647
33,Castro,BR,59.76,94,100,3.22,-24.7911,-50.0119,1618632647
34,Sorong,ID,86.59,65,82,15.5,-0.8833,131.25,1618632648
35,São Miguel do Araguaia,BR,74.12,80,85,2.86,-13.275,-50.1628,1618632425
36,New Norfolk,AU,63.0,77,98,5.99,-42.7826,147.0587,1618632648
37,Bredasdorp,ZA,44.6,93,2,1.14,-34.5322,20.0403,1618632498
38,Mīzan Teferī,ET,65.46,69,42,3.74,6.9833,35.5833,1618632649
39,La Asuncion,VE,77.83,82,80,19.24,11.0333,-63.8628,1618632649
40,Kavaratti,IN,84.2,71,6,6.33,10.5669,72.642,1618632650
41,Saldanha,ZA,59.0,63,0,3.44,-33.0117,17.9442,1618632650
42,Mataura,NZ,55.99,63,83,7.0,-46.1927,168.8643,1618632651
43,Yellowknife,CA,39.2,65,40,6.91,62.456,-114.3525,1618632651
44,Tiksi,RU,7.97,94,100,12.59,71.6872,128.8694,1618632652
45,Ushuaia,AR,42.8,81,75,4.61,-54.8,-68.3,1618632554
46,Mahébourg,MU,77.0,94,40,8.05,-20.4081,57.7,1618632652
47,George Town,MY,87.8,74,20,4.61,5.4112,100.3354,1618632653
48,Katsuura,JP,66.0,63,100,18.68,35.1333,140.3,1618632653
49,Kabalo,CD,66.49,97,60,3.53,-6.05,26.9167,1618632654
50,Ürümqi,CN,68.0,17,0,11.18,43.801,87.6005,1618632654
51,Chokurdakh,RU,13.32,85,7,9.37,70.6333,147.9167,1618632655
52,Port Hedland,AU,95.0,24,0,19.57,-20.3167,118.5667,1618632656
53,Tulum,MX,77.52,81,3,8.32,20.2167,-87.4667,1618632656
54,Hermanus,ZA,65.07,49,0,5.39,-34.4187,19.2345,1618632656
55,Thompson,CA,37.4,52,40,4.61,55.7435,-97.8558,1618632657
56,Souillac,MU,80.6,83,75,11.5,-20.5167,57.5167,1618632657
57,Saint Paul Harbor,US,42.8,75,90,12.66,57.79,-152.4072,1618632391
58,Iqaluit,CA,12.2,73,75,4.61,63.7506,-68.5145,1618632658
59,Albany,US,39.99,78,98,5.97,42.6001,-73.9662,1618632511
60,Norman Wells,CA,46.4,49,75,4.61,65.282,-126.8329,1618632659
61,Vila Franca do Campo,PT,60.8,100,90,9.22,37.7167,-25.4333,1618632659
62,Patea,NZ,60.01,79,13,5.01,-39.7583,174.4833,1618632659
63,Poum,NC,78.6,73,34,6.11,-20.2333,164.0167,1618632660
64,Copiapó,CL,60.8,77,90,2.59,-27.3667,-70.3333,1618632363
65,Vaini,TO,78.8,69,75,5.75,-21.2,-175.2,1618632661
66,Ust-Maya,RU,36.59,74,100,13.22,60.4167,134.5333,1618632661
67,Punta Arenas,CL,46.4,76,0,16.11,-53.15,-70.9167,1618632661
68,Umluj,SA,76.91,67,0,3.4,25.0213,37.2685,1618632662
69,Hilo,US,75.2,64,90,3.44,19.7297,-155.09,1618632662
70,Cidreira,BR,68.67,82,100,6.67,-30.1811,-50.2056,1618632663
71,Mossamedes,AO,80.73,65,18,5.66,-15.1961,12.1522,1618632663
72,Fortuna,US,48.99,100,90,6.91,40.5982,-124.1573,1618632663
73,College,US,46.4,42,1,1.07,64.8569,-147.8028,1618632664
74,Port Alfred,ZA,59.74,67,1,17.69,-33.5906,26.891,1618632596
75,Mandalgovi,MN,52.79,14,0,18.37,45.7625,106.2708,1618632664
76,Ribeira Grande,PT,63.07,94,93,16.71,38.5167,-28.7,1618632665
77,Butaritari,KI,82.51,74,56,9.8,3.0707,172.7902,1618632505
78,Yangi Marg`ilon,UZ,66.2,32,11,4.61,40.4272,71.7189,1618632666
79,Bengkulu,ID,82.31,71,93,3.71,-3.8004,102.2655,1618632512
80,Pevek,RU,23.07,84,100,5.23,69.7008,170.3133,1618632666
81,Tupik,RU,45.3,58,94,7.76,54.4253,119.9327,1618632667
82,Qaqortoq,GL,17.6,35,0,5.75,60.7167,-46.0333,1618632667
83,Lavrentiya,RU,32.81,89,100,8.88,65.5833,-171.0,1618632667
84,Severo-Kuril'sk,RU,36.82,60,85,7.47,50.6789,156.125,1618632668
85,Qaanaaq,GL,-7.89,98,97,4.34,77.484,-69.3632,1618632669
86,Khatanga,RU,12.11,87,100,10.33,71.9667,102.5,1618632552
87,Sambava,MG,76.68,84,19,2.8,-14.2667,50.1667,1618632669
88,Timrå,SE,32.0,80,58,9.22,62.487,17.3257,1618632370
89,Anadyr,RU,37.4,75,0,26.84,64.75,177.4833,1618632670
90,Grindavik,IS,37.4,87,75,24.16,63.8424,-22.4338,1618632670
91,Hithadhoo,MV,81.79,62,47,3.42,-0.6,73.0833,1618632671
92,Tuktoyaktuk,CA,19.4,86,90,0.27,69.4541,-133.0374,1618632566
93,Synya,RU,29.39,80,100,9.69,65.3718,58.0387,1618632671
94,Avarua,CK,82.4,69,40,2.3,-21.2078,-159.775,1618632672
95,Kumul,CN,67.64,8,0,7.63,42.8,93.45,1618632672
96,Nyimba,ZM,63.72,58,1,9.06,-14.5566,30.8149,1618632672
97,Lethem,GY,76.15,84,96,5.77,3.3803,-59.7968,1618632673
98,Port-Cartier,CA,30.0,86,1,8.05,50.0334,-66.8654,1618632673
99,Mareeba,AU,90.0,54,90,17.27,-17.0,145.4333,1618632482
100,Ambilobe,MG,75.52,91,25,2.08,-13.2,49.05,1618632674
101,Prince Rupert,CA,55.4,54,1,2.3,54.3161,-130.3201,1618632413
102,Salalah,OM,80.6,74,0,2.3,17.0151,54.0924,1618632674
103,Charagua,BO,67.73,91,91,3.87,-19.8,-63.2167,1618632675
